participant_id,gender,age_cat,year_of_study,major,treatment_pronoun,partner_gender_code,gender_matching,cars_correct,beauty_correct,selfbelief_cars,selfbelief_beauty,distort_self_cars,distort_self_beauty,overconfident_cars,overconfident_beauty,partner_cars_belief,partner_beauty_belief,partner_score_belief,partner_confidence,pref_domain_self,time_dummy_fast
1,Female,18-19,3,Political Science,1,2,1,6,8,5.400000095367432,9.600000381469727,-0.6000000238418579,1.600000023841858,0,1,5,9,14,52,Beauty,0
2,Female,22-23,4,Psychology,1,2,1,5,7,4.0,9.300000190734863,-1.0,2.299999952316284,0,1,6,8,14,86,Beauty,0
3,Female,20-21,1,Psychology,0,0,0,5,8,4.5,9.0,-0.5,1.0,0,1,9,5,14,46,Beauty,0
4,Female,20-21,3,Economics,0,0,0,5,6,3.5999999046325684,5.300000190734863,-1.399999976158142,-0.699999988079071,0,0,4,5,9,57,Beauty,0
5,Male,18-19,1,Economics,0,0,0,7,5,8.800000190734863,4.300000190734863,1.7999999523162842,-0.699999988079071,1,0,8,9,17,54,Cars,0
6,Male,18-19,1,Economics,0,0,0,7,6,7.5,6.5,0.5,0.5,1,1,6,7,13,66,Cars,0
7,Male,18-19,1,Computer Science,0,0,0,7,5,6.199999809265137,3.299999952316284,-0.800000011920929,-1.7000000476837158,0,0,8,6,14,54,Cars,0
8,Female,22-23,2,Psychology,0,0,0,2,8,2.700000047683716,8.600000381469727,0.699999988079071,0.6000000238418579,1,1,6,7,13,74,Beauty,0
9,Female,20-21,3,Economics,0,0,0,4,6,4.0,6.199999809265137,0.0,0.20000000298023224,0,1,6,5,11,59,Beauty,0
10,Female,20-21,1,Economics,1,1,2,6,6,4.699999809265137,8.899999618530273,-1.2999999523162842,2.9000000953674316,0,1,7,5,12,64,Beauty,0
11,Male,18-19,4,Computer Science,1,1,1,8,7,9.600000381469727,6.300000190734863,1.600000023841858,-0.699999988079071,1,0,10,4,14,50,Cars,0
12,Female,22-23,2,Other,1,1,2,5,9,4.400000095367432,11.800000190734863,-0.6000000238418579,2.799999952316284,0,1,7,6,13,79,Beauty,0
13,Female,20-21,1,Political Science,0,0,0,3,7,3.5999999046325684,9.5,0.6000000238418579,2.5,1,1,7,7,14,60,Beauty,0
14,Male,18-19,4,Political Science,1,2,2,8,5,10.0,5.900000095367432,2.0,0.8999999761581421,1,1,3,10,13,92,Cars,0
15,Male,18-19,4,Economics,1,1,1,8,6,7.5,6.800000190734863,-0.5,0.800000011920929,0,1,8,5,13,75,Cars,0
16,Male,18-19,2,Economics,1,1,1,5,4,5.900000095367432,4.800000190734863,0.8999999761581421,0.800000011920929,1,1,9,7,16,83,Cars,0
17,Male,18-19,3,Psychology,0,0,0,5,8,7.900000095367432,7.599999904632568,2.9000000953674316,-0.4000000059604645,1,0,6,7,13,71,Cars,0
18,Female,20-21,3,Economics,0,0,0,4,9,3.799999952316284,9.399999618530273,-0.20000000298023224,0.4000000059604645,0,1,8,7,15,49,Beauty,0
19,Female,20-21,2,Other,1,2,1,9,7,6.800000190734863,7.699999809265137,-2.200000047683716,0.699999988079071,0,1,4,9,13,81,Beauty,1
20,Male,18-19,2,Sociology,0,0,0,5,7,5.5,6.900000095367432,0.5,-0.10000000149011612,1,0,7,8,15,77,Beauty,0
21,Female,18-19,4,Political Science,1,1,2,5,8,5.699999809265137,9.800000190734863,0.699999988079071,1.7999999523162842,1,1,7,4,11,62,Beauty,0
22,Male,18-19,3,Psychology,1,1,1,9,6,9.800000190734863,5.400000095367432,0.800000011920929,-0.6000000238418579,1,0,9,5,14,87,Cars,1
23,Male,18-19,3,Economics,0,0,0,5,6,5.099999904632568,6.800000190734863,0.10000000149011612,0.800000011920929,1,1,6,7,13,61,Beauty,0
24,Female,18-19,1,Computer Science,0,0,0,3,8,3.299999952316284,10.399999618530273,0.30000001192092896,2.4000000953674316,1,1,5,9,14,56,Beauty,0
25,Female,18-19,1,Computer Science,0,0,0,5,8,3.9000000953674316,8.399999618530273,-1.100000023841858,0.4000000059604645,0,1,6,7,13,53,Beauty,0
26,Female,22-23,4,Psychology,0,0,0,6,7,7.199999809265137,7.300000190734863,1.2000000476837158,0.30000001192092896,1,1,7,8,15,52,Beauty,0
